"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2023","0.067132","0.067992","0.068057","0.067132","463.66M","-1.26%"
"Apr 29, 2023","0.067991","0.066669","0.068218","0.066631","437.66M","1.97%"
"Apr 28, 2023","0.066675","0.065761","0.066679","0.065631","396.38M","1.39%"
"Apr 27, 2023","0.065762","0.065079","0.066079","0.065004","459.14M","1.05%"
"Apr 26, 2023","0.065079","0.065846","0.067098","0.063991","746.02M","-1.17%"
"Apr 25, 2023","0.065848","0.066092","0.066202","0.065248","440.68M","-0.37%"
"Apr 24, 2023","0.066092","0.066700","0.066963","0.065857","476.32M","-0.91%"
"Apr 23, 2023","0.066701","0.066109","0.066977","0.065527","477.01M","0.90%"
"Apr 22, 2023","0.066107","0.064973","0.066211","0.064844","501.32M","1.75%"
"Apr 21, 2023","0.064968","0.065412","0.066018","0.064302","577.95M","-0.68%"
"Apr 20, 2023","0.065412","0.065634","0.066638","0.064653","736.89M","-0.34%"
"Apr 19, 2023","0.065635","0.066809","0.067110","0.064972","741.57M","-1.75%"
"Apr 18, 2023","0.066803","0.065747","0.066816","0.065519","440.04M","1.61%"
"Apr 17, 2023","0.065747","0.066548","0.066642","0.065403","507.09M","-1.20%"
"Apr 16, 2023","0.066544","0.065882","0.066680","0.065626","302.79M","1.01%"
"Apr 15, 2023","0.065877","0.066185","0.066247","0.065527","356.14M","-0.46%"
"Apr 14, 2023","0.066181","0.065239","0.066998","0.065141","649.26M","1.44%"
"Apr 13, 2023","0.065238","0.065128","0.065475","0.064517","661.57M","0.18%"
"Apr 12, 2023","0.065121","0.066336","0.066452","0.062189","1.18B","-1.85%"
"Apr 11, 2023","0.066349","0.067302","0.067771","0.065364","966.52M","-1.42%"
"Apr 10, 2023","0.067303","0.066618","0.067434","0.066172","528.69M","1.03%"
"Apr 09, 2023","0.066617","0.066127","0.066880","0.065911","398.69M","0.73%"
"Apr 08, 2023","0.066135","0.066058","0.066547","0.065708","406.05M","0.12%"
"Apr 07, 2023","0.066053","0.066089","0.066507","0.065590","436.89M","-0.05%"
"Apr 06, 2023","0.066088","0.066160","0.066692","0.065553","634.07M","-0.11%"
"Apr 05, 2023","0.066159","0.065734","0.066682","0.065377","545.32M","0.65%"
"Apr 04, 2023","0.065733","0.065750","0.066808","0.065587","672.82M","-0.03%"
"Apr 03, 2023","0.065750","0.065183","0.066219","0.064308","643.66M","0.86%"
"Apr 02, 2023","0.065188","0.066475","0.066936","0.064882","516.11M","-1.94%"
"Apr 01, 2023","0.066475","0.065531","0.067135","0.065359","668.28M","1.44%"